sentence1	sentence2	gold_label
밝은 티셔츠를 입은 거리에 있는 한 남자가 분홍색 티셔츠와 음영을 입은 여자를 향해 일종의 태블릿을 들고 있다.	거리에 사람들이 있다	entailment
밝은 티셔츠를 입은 거리에 있는 한 남자가 분홍색 티셔츠와 음영을 입은 여자를 향해 일종의 태블릿을 들고 있다.	남자는 여자에게 휴대폰을 건네준다	contradiction
밝은 티셔츠를 입은 거리에 있는 한 남자가 분홍색 티셔츠와 음영을 입은 여자를 향해 일종의 태블릿을 들고 있다.	남자가 여자에게 뭔가를 보여주고 있다	entailment
얼굴에 노란 컵과 우유를 묻힌 아이.	아이가 우유를 쏟았다.	neutral
얼굴에 노란 컵과 우유를 묻힌 아이.	그 아이는 얼굴이 깨끗하다.	contradiction
얼굴에 노란 컵과 우유를 묻힌 아이.	그 아이는 얼굴에 온통 우유를 묻혔다.	entailment
맨발 남자 두 명이 건물 밖의 녹색 잔디밭에서 다른 사람들과 함께 놀고 있다.	두 남자가 맨발로 잔디밭에 서 있다.	entailment
맨발 남자 두 명이 건물 밖의 녹색 잔디밭에서 다른 사람들과 함께 놀고 있다.	샌들을 신은 두 남자가 해변에 있다.	contradiction
맨발 남자 두 명이 건물 밖의 녹색 잔디밭에서 다른 사람들과 함께 놀고 있다.	두 남자가 맨발로 잔디 다트를 치고 있다.	neutral
금발의 작은 웃는 아이가 녹색 시피 컵을 들고 테이블에 앉아 있다.	아이는 행복하다.	entailment
금발의 작은 웃는 아이가 녹색 시피 컵을 들고 테이블에 앉아 있다.	아이가 사과 주스를 마시고 있다.	neutral
금발의 작은 웃는 아이가 녹색 시피 컵을 들고 테이블에 앉아 있다.	아이가 짜증을 내고 있다.	contradiction
어린 소년은 우유를 마시고 얼굴과 테이블 전체에 우유를 얻는다.	그 아이는 학창시절에 얼굴에 우유를 묻혔다	neutral
어린 소년은 우유를 마시고 얼굴과 테이블 전체에 우유를 얻는다.	그 개는 쥐를 잡아먹는다	contradiction
어린 소년은 우유를 마시고 얼굴과 테이블 전체에 우유를 얻는다.	그 아이는 얼굴에 우유를 묻혔다	entailment
헤드폰을 든 MP3 플레이어에서 음악을 듣는 10대 이전의 두 소녀.	음악이 시끄럽다.	neutral
헤드폰을 든 MP3 플레이어에서 음악을 듣는 10대 이전의 두 소녀.	위협은 소녀들이다.	entailment
헤드폰을 든 MP3 플레이어에서 음악을 듣는 10대 이전의 두 소녀.	그 선수는 CD 플레이어이다.	contradiction
한 남자가 네 마리의 개에게 끌려가는 개썰매 뒤로 달려가고 있다.	남자가 혼자 끌려가고 있다.	contradiction
한 남자가 네 마리의 개에게 끌려가는 개썰매 뒤로 달려가고 있다.	남자가 썰매 뒤로 달리고 있다.	entailment
한 남자가 네 마리의 개에게 끌려가는 개썰매 뒤로 달려가고 있다.	한 남자가 개들과 경주를 하고 있다.	neutral
입에 우유를 묻힌 토들러.	한 아이가 얼굴에 우유를 묻혔다.	entailment
입에 우유를 묻힌 토들러.	한 아이가 우유를 엉망으로 만들고 있었다.	entailment
입에 우유를 묻힌 토들러.	입에 주스를 물고 있는 갓난아기.	contradiction
입에 우유를 묻힌 토들러.	토들러는 우유를 먹고 있다.	contradiction
입에 우유를 묻힌 토들러.	한 아이가 자신에게 우유를 토했다.	neutral
입에 우유를 묻힌 토들러.	아이.	entailment
입에 우유를 묻힌 토들러.	미크를 입은 토들러	entailment
입에 우유를 묻힌 토들러.	한 남자가 셔츠에 맥주를 쏟는다.	contradiction
입에 우유를 묻힌 토들러.	그 아기는 입가에 우유를 가지고 있다.	entailment
입에 우유를 묻힌 토들러.	아기는 입에 아이스크림을 물고 있다.	contradiction
입에 우유를 묻힌 토들러.	그 아이는 잘 손질되었다.	contradiction
입에 우유를 묻힌 토들러.	토들러는 우유를 마신다.	neutral
입에 우유를 묻힌 토들러.	갓난아기가 첫 번째 우유를 마셨다.	neutral
입에 우유를 묻힌 토들러.	그 아이는 아직도 우유를 제대로 마실 수가 없었다.	neutral
입에 우유를 묻힌 토들러.	입에 우유를 물고 있는 갓난아기가 엉망진창이다.	neutral
따뜻한 옷을 입은 남자가 눈 속에서 네 마리의 개 뒤에 썰매를 탄다.	남자가 개들과 수영을 하고 있다.	contradiction
따뜻한 옷을 입은 남자가 눈 속에서 네 마리의 개 뒤에 썰매를 탄다.	남자가 썰매 타기 밖에 있다.	entailment
따뜻한 옷을 입은 남자가 눈 속에서 네 마리의 개 뒤에 썰매를 탄다.	그 남자는 알래스카에서 썰매를 타고 있다.	neutral
로데오에서 종아리를 굴리는 카우보이.	갈색 모자를 쓴 카우보이가 로데오를 타고 송아지를 배회하고 있다.	neutral
로데오에서 종아리를 굴리는 카우보이.	한 남자가 노트북으로 사무실에서 일하고 있다.	contradiction
로데오에서 종아리를 굴리는 카우보이.	사람이 공연을 하고 있다.	entailment
남자들은 콘크리트 슬래브 위에서 낚시를 한다.	남자들이 텐트에서 자고 있다.	contradiction
남자들은 콘크리트 슬래브 위에서 낚시를 한다.	남자들이 물 근처에 있다.	entailment
남자들은 콘크리트 슬래브 위에서 낚시를 한다.	남자들이 송어를 낚고 있다.	neutral
파란 셔츠를 입은 남자가 공중에서 팔을 들고 비명을 지르거나 소리를 지른다.	남자가 화를 내고 있다.	neutral
파란 셔츠를 입은 남자가 공중에서 팔을 들고 비명을 지르거나 소리를 지른다.	남자가 소란을 피운다.	entailment
파란 셔츠를 입은 남자가 공중에서 팔을 들고 비명을 지르거나 소리를 지른다.	남자는 편안하다.	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	한 사람이 물속에서 수영을 하다	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	연못 근처에 네 사람이 앉아 있었다.	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	인도에는 분필 예술이 있다.	neutral
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	세 사람이 물 근처에 서 있는 동안 한 사람이 앉아 있다.	entailment
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	사람들이 계단에 서 있다.	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	한 무리의 사람들이 건물 안에 있다.	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	보도는 황량하고 비어 있다.	contradiction
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	네 사람이 연못에 모인다.	neutral
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	사람들이 수영하러 가고 있다.	neutral
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	인도에 사람들이 있다.	entailment
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	모두가 드레스를 입고 있다.	neutral
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	사람들은 물 근처에 있다.	entailment
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	네 사람이 물 근처에 모인다.	entailment
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	야외에는 사람들이 있다.	entailment
물 한 몸 근처에 4명, 한 명은 앉아 있고 세 명은 서 있고, 두 사람은 근처 보도 위를 걷고 있다.	한 사람은 쉬고, 다른 세 사람은 물 근처에 서 있다.	neutral
나무 블록으로 만든 O 옆에 두 명의 어린 소녀가 카펫 위에 누워 있다.	두 소녀가 카펫 위에서 낮잠을 자고 있다.	neutral
나무 블록으로 만든 O 옆에 두 명의 어린 소녀가 카펫 위에 누워 있다.	두 소녀가 베개 싸움을 하고 있다.	contradiction
나무 블록으로 만든 O 옆에 두 명의 어린 소녀가 카펫 위에 누워 있다.	두 소녀가 나무 블록 옆에 누웠다.	entailment
사람들이 낚시를 하고 물 옆을 걷고 있다.	사람들이 낚시를 하고 물 옆을 걷고 있다.	entailment
사람들이 낚시를 하고 물 옆을 걷고 있다.	사람들이 물속에서 수영을 하고 있다.	contradiction
사람들이 낚시를 하고 물 옆을 걷고 있다.	사람들은 여름 날씨 낚시를 즐기고 있다.	neutral
캠퍼스 그린에서 축구를 하는 두 남자.	그들은 배에서 생선 튀김을 먹고 있다	contradiction
캠퍼스 그린에서 축구를 하는 두 남자.	그들은 내일 큰 경기 전에 연습을 한다	neutral
캠퍼스 그린에서 축구를 하는 두 남자.	이 사진에는 몇몇 남자들이 있습니다	entailment
아시아 학교 아이들이 서로 어깨를 나란히 하고 앉아 있다.	학생들이 함께	entailment
아시아 학교 아이들이 서로 어깨를 나란히 하고 앉아 있다.	아시아 공장 노동자들이 앉아 있다.	contradiction
아시아 학교 아이들이 서로 어깨를 나란히 하고 앉아 있다.	아시아 학생들은 친구이다	neutral
빨간 스웨터를 입은 남자가 자동차 범퍼에 앉아 다른 사람이 일하는 것을 보고 있다.	차량이 속도차단기에서 느리다	neutral
빨간 스웨터를 입은 남자가 자동차 범퍼에 앉아 다른 사람이 일하는 것을 보고 있다.	사람들이 돌보고 있는 도로에는 스피드 브레이커가 있었다	entailment
빨간 스웨터를 입은 남자가 자동차 범퍼에 앉아 다른 사람이 일하는 것을 보고 있다.	사람들은 스피드 브레이커에서 빠른 속도를 낸다.	contradiction
미국 카피톨 건물 앞 잔디밭에서 장난치는 젊은 여자.	카피톨 건물 앞 잔디밭에서 소풍을 가는 젊은 여성.	contradiction
미국 카피톨 건물 앞 잔디밭에서 장난치는 젊은 여자.	카피톨 건물 앞에서 놀고 있는 젊은 아가씨.	entailment
미국 카피톨 건물 앞 잔디밭에서 장난치는 젊은 여자.	카피톨 건물 앞에서 추격전을 벌이고 있는 젊은 아가씨.	neutral
거리에서 기타를 치는 다색 줄무늬 셔츠를 입은 남자	남자가 아이를 때리고 있다	contradiction
거리에서 기타를 치는 다색 줄무늬 셔츠를 입은 남자	화려한 셔츠를 입은 남자가 악기를 연주하고 있다.	entailment
거리에서 기타를 치는 다색 줄무늬 셔츠를 입은 남자	한 남자가 돈 때문에 공연을 하고 있다	neutral
화려한 줄무늬 스웨터를 입은 남자가 거리에서 음악을 연주한다.	금붕어 두 마리가 으깬 감자 더미를 타고 자전거를 타고 있다.	contradiction
화려한 줄무늬 스웨터를 입은 남자가 거리에서 음악을 연주한다.	남자가 악기로 음악을 연주하고 있다.	entailment
화려한 줄무늬 스웨터를 입은 남자가 거리에서 음악을 연주한다.	그 남자는 그의 음악으로 관심을 받는 것을 좋아하는데, 그것은 끔찍하게 들린다.	neutral
다색 코트를 입은 남자가 거리에서 기타를 치고 있다.	그 남자는 기타를 친다	entailment
다색 코트를 입은 남자가 거리에서 기타를 치고 있다.	여자가 손톱을 다듬고 있다	contradiction
다색 코트를 입은 남자가 거리에서 기타를 치고 있다.	그 남자는 마약을 위해 돈을 모으려 하고 있다	neutral
화려한 셔츠를 입은 스트리트 연주자가 작은 기타로 공연한다.	길거리 공연자가 노래를 부르고 있다.	neutral
화려한 셔츠를 입은 스트리트 연주자가 작은 기타로 공연한다.	길거리 공연자가 공원 벤치에서 자고 있다.	contradiction
화려한 셔츠를 입은 스트리트 연주자가 작은 기타로 공연한다.	거리 공연자가 여분의 돈을 벌려고 하고 있다.	entailment
세 번째 남자가 휴대폰으로 지나가는 동안 두 남자가 건물을 칠하고 있다.	건물이 페인트칠되고 있다.	entailment
세 번째 남자가 휴대폰으로 지나가는 동안 두 남자가 건물을 칠하고 있다.	아무도 이 페인트칠을 하지 않고 황폐한 건물에 오지 않는다.	contradiction
세 번째 남자가 휴대폰으로 지나가는 동안 두 남자가 건물을 칠하고 있다.	한 감독관이 그림 제작진에 대한 보고서를 부른다.	neutral
보도 위의 한 남자가 그들 옆에 서서 전화 통화를 하는 동안 두 남자가 가게 앞면 위에 그림을 그리면서 비계를 쓰고 있다.	두 남자가 새 가게에 페인트칠을 하고 있다.	neutral
보도 위의 한 남자가 그들 옆에 서서 전화 통화를 하는 동안 두 남자가 가게 앞면 위에 그림을 그리면서 비계를 쓰고 있다.	세 남자가 밖에 있다.	entailment
보도 위의 한 남자가 그들 옆에 서서 전화 통화를 하는 동안 두 남자가 가게 앞면 위에 그림을 그리면서 비계를 쓰고 있다.	아무도 전화를 하지 않는다.	contradiction
시멘트에 커다란 홀드를 파는 푸른 굴착기.	소년은 듣고 있었다	neutral
시멘트에 커다란 홀드를 파는 푸른 굴착기.	아이가 그곳에 있었다	entailment
시멘트에 커다란 홀드를 파는 푸른 굴착기.	전혀 보지 않았다	contradiction
카키 반바지를 입은 남자가 어린 소녀들이 개울가의 물속을 걷는 동안 손을 잡고 있다.	한 남자가 여자아이들의 손을 잡고 개울을 걷고 있다.	entailment
카키 반바지를 입은 남자가 어린 소녀들이 개울가의 물속을 걷는 동안 손을 잡고 있다.	청바지 반바지를 입은 남자가 연을 날리는 동안 어린 소녀들의 손을 잡고 있다.	contradiction
카키 반바지를 입은 남자가 어린 소녀들이 개울가의 물속을 걷는 동안 손을 잡고 있다.	반바지를 입은 남자가 어린 소녀가 집으로 가는 길을 찾는 것을 돕고 있다.	neutral
두 여자가 머리에 짐을 지고 흙길을 걷고 있다.	들판에서 달리는 말 두 마리.	contradiction
두 여자가 머리에 짐을 지고 흙길을 걷고 있다.	두 사람이 길을 걷고 있다.	entailment
두 여자가 머리에 짐을 지고 흙길을 걷고 있다.	흰 옷을 입은 두 명의 아름다운 여성이 머리에 견과류를 잔뜩 싣고 흙길을 걷고 있다.	neutral
아시아의 한 노점상은 더 많은 고객들을 데려오려고 한다.	코스튬을 끌어들이려는 상인.	entailment
아시아의 한 노점상은 더 많은 고객들을 데려오려고 한다.	고객에게 물건을 파는 판매원.	neutral
아시아의 한 노점상은 더 많은 고객들을 데려오려고 한다.	하루 동안 가게를 닫는 남자.	contradiction
카페에서 휴대폰을 확인하던 젊은 여성.	여자가 뜨개질을 하고 있다.	contradiction
카페에서 휴대폰을 확인하던 젊은 여성.	소녀가 문자를 보내고 있다.	neutral
카페에서 휴대폰을 확인하던 젊은 여성.	여자가 안에 있다.	entailment
한 여자와 한 소녀가 나뭇잎밭에서 놀고 있다.	어머니와 딸이 들판에서 놀고 있다.	neutral
한 여자와 한 소녀가 나뭇잎밭에서 놀고 있다.	두 사람이 밖에 있다.	entailment
한 여자와 한 소녀가 나뭇잎밭에서 놀고 있다.	남자가 들판에서 놀고 있다.	contradiction
두 명의 어린 소녀가 나뭇잎을 따라 걷는다.	두 소녀는 밖에 있다.	entailment
두 명의 어린 소녀가 나뭇잎을 따라 걷는다.	소녀들이 공원으로 걸어가고 있다.	neutral
두 명의 어린 소녀가 나뭇잎을 따라 걷는다.	두 소녀가 자전거를 타고 있다.	contradiction
파란 셔츠와 반바지, 운동화를 신은 소녀가 둥근 테이블의 걸상에 앉아 전화기를 보고 있다.	소녀가 앉아 있다.	entailment
파란 셔츠와 반바지, 운동화를 신은 소녀가 둥근 테이블의 걸상에 앉아 전화기를 보고 있다.	소녀가 문자 메시지를 읽고 있다.	neutral
파란 셔츠와 반바지, 운동화를 신은 소녀가 둥근 테이블의 걸상에 앉아 전화기를 보고 있다.	소녀가 녹색 셔츠를 입고 있다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 여성이 사진을 찍기 위해 고양이를 이용하고 있습니다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 여성이 자전거 도로를 따라 자전거를 타고 내려가고 있다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 아가씨가 찍은 사진에 당황한다.	neutral
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 여성이 사진을 보고 있다.	entailment
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 여성이 카메라로 사진을 본다	entailment
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 아가씨가 카메라로 자신의 개 사진을 보고 있다.	neutral
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 여자가 핸드폰을 본다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	숙녀는 앉아서 카메라를 응시하고 있다.	entailment
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	젊은 아가씨는 개인 구역에 앉아 있다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 여성이 카메라를 보고 있다.	entailment
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 여성이 테이블 사진을 찍고 있다.	neutral
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 젊은 아가씨가 핸드폰에 있다.	contradiction
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 아가씨가 인쇄하기 위해 카메라로 사진을 본다.	neutral
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	한 잉누가 세상에 지친 표정으로 앉아 오래된 신혼여행 사진을 응시하고 있다.	neutral
검은 반바지에 연한 파란색 셔츠를 입은 젊은 아가씨가 공공 테이블에 앉아 왼손을 얼굴에 얹은 채 카메라에 찍힌 사진을 보고 있다.	테이블에 앉은 여자가 사진을 찍는다.	entailment
테이블에 앉아 사진을 찍고 있는 여자.	여자가 사진을 찍고 있다	neutral
테이블에 앉아 사진을 찍고 있는 여자.	여자가 앉아 있다	entailment
테이블에 앉아 사진을 찍고 있는 여자.	여자가 자고 있다.	contradiction
파란 셔츠를 입은 여자가 테이블에 앉아 휴대폰을 보고 있다.	휴대폰을 보고 있는 여자	entailment
파란 셔츠를 입은 여자가 테이블에 앉아 휴대폰을 보고 있다.	휴대폰 통화 기록을 보고 있는 여자	neutral
파란 셔츠를 입은 여자가 테이블에 앉아 휴대폰을 보고 있다.	창밖을 내다보는 남자	contradiction
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	민소매 푸른 셔츠를 입은 신사가 양손을 옆으로 휘두른다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	셔츠가 새것이다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	그는 운동을 하고 있다	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	그 소년은 음주측정을 통과하려고 애쓰고 있다.	contradiction
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	삼색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	소년이 셔츠를 입고 있다.	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	그는 다색의 셔츠를 입고 있다	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	그 소년은 팔을 내밀지 않았다	contradiction
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	그 소년은 어리다.	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	한 소년이 깨끗한 빨래를 접고 있다.	contradiction
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	셔츠가 파랗다.	contradiction
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	다색 셔츠를 입은 소년이 양팔을 옆으로 내밀고 있다.	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	어린 소년이 양팔을 옆으로 내밀고 혀를 내밀고 있다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	소년이 비행기 행세를 하고 있다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 팔을 옆으로 내밀고 있다.	비키니를 입은 소녀가 해변에 있는 한 무리의 신사들을 우아하게 지나간다.	contradiction
파란색과 노란색 상의를 입은 소년이 팔을 뻗은 채 서 있다.	한 소년이 셔츠를 입고 있다	entailment
파란색과 노란색 상의를 입은 소년이 팔을 뻗은 채 서 있다.	파란색과 노란색 상의를 입은 소년이 40피트 넓이의 팔을 뻗고 서 있다.	contradiction
파란색과 노란색 상의를 입은 소년이 팔을 뻗은 채 서 있다.	파란색과 노란색 상의를 입은 소년이 팔을 뻗고 서서 할머니가 그를 안아주기를 기다리고 있다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 밖에서 놀고 있다.	한 소년이 휴가 중에 즐거운 시간을 보내고 있다.	neutral
파란색, 노란색, 주황색 셔츠를 입은 소년이 밖에서 놀고 있다.	셔츠를 입은 소년이 밖에서 놀고 있다.	entailment
파란색, 노란색, 주황색 셔츠를 입은 소년이 밖에서 놀고 있다.	드레스를 입은 소년이 실내에서 놀고 있다.	contradiction
밝은 색의 셔츠를 입은 아이가 밖에서 놀고 있다.	그 아이는 그의 아파트 안에 있다.	contradiction
밝은 색의 셔츠를 입은 아이가 밖에서 놀고 있다.	그 아이는 정글 체육관에서 놀고 있다.	neutral
밝은 색의 셔츠를 입은 아이가 밖에서 놀고 있다.	아이는 밝은 색 셔츠를 입고 야외에 있다.	entailment
한 소년이 아래를 내려다보며 두 팔을 넓게 벌린다	한 소년이 팔을 내밀고 있다.	entailment
한 소년이 아래를 내려다보며 두 팔을 넓게 벌린다	한 소년이 어머니를 껴안기 위해 팔을 내밀고 있다.	neutral
한 소년이 아래를 내려다보며 두 팔을 넓게 벌린다	소년은 팔짱을 끼고 있다.	contradiction
회색 스웨터를 입은 남자가 나뭇잎 더미를 걷고 있다.	남자가 운전면허 시험을 보고 있다.	contradiction
회색 스웨터를 입은 남자가 나뭇잎 더미를 걷고 있다.	남자는 가을에 밖에 있다.	neutral
회색 스웨터를 입은 남자가 나뭇잎 더미를 걷고 있다.	남자가 밖에 있다.	entailment
파란색 프린트 셔츠와 초록색 머리 덮개를 쓴 한 여성이 카메라를 향해 미소를 짓고 있다.	드레스를 입은 여자.	contradiction
파란색 프린트 셔츠와 초록색 머리 덮개를 쓴 한 여성이 카메라를 향해 미소를 짓고 있다.	파란 셔츠를 입은 여자.	entailment
파란색 프린트 셔츠와 초록색 머리 덮개를 쓴 한 여성이 카메라를 향해 미소를 짓고 있다.	표지를 쓴 여자.	neutral
메달을 많이 딴 남자가 노란 비키니 상의를 입은 소녀를 지켜보고 있다.	한 군 장교가 기지 수영장에서 소녀들을 지켜보고 있다.	neutral
메달을 많이 딴 남자가 노란 비키니 상의를 입은 소녀를 지켜보고 있다.	남자가 가운을 입은 여자와 춤을 춘다.	contradiction
메달을 많이 딴 남자가 노란 비키니 상의를 입은 소녀를 지켜보고 있다.	장식된 남자는 옷을 거의 입지 않은 여성을 본다.	entailment
20대 중반의 한 젊은이가 포장된 아스팔트와 녹색 식물과 나무를 배경으로 잎이 덮인 땅에서 약 2피트 떨어진 곳에서 왼발을 걷어차고 있다.	두 여자 축구 선수	contradiction
20대 중반의 한 젊은이가 포장된 아스팔트와 녹색 식물과 나무를 배경으로 잎이 덮인 땅에서 약 2피트 떨어진 곳에서 왼발을 걷어차고 있다.	펑크가 나뭇잎을 차다	neutral
20대 중반의 한 젊은이가 포장된 아스팔트와 녹색 식물과 나무를 배경으로 잎이 덮인 땅에서 약 2피트 떨어진 곳에서 왼발을 걷어차고 있다.	20대 누군가가 발길질을 하다	entailment
초록색 두건을 쓴 여성이 웃는 동안 뒷모습을 입은 여성이 배를 노를 젓는다.	남자는 모욕에 화가 났다.	contradiction
초록색 두건을 쓴 여성이 웃는 동안 뒷모습을 입은 여성이 배를 노를 젓는다.	다른 여자가 배를 노를 젓는 동안 여자가 웃는다.	entailment
초록색 두건을 쓴 여성이 웃는 동안 뒷모습을 입은 여성이 배를 노를 젓는다.	한 여자가 농담에 웃는다.	neutral
거리에서 긴 줄넘기를 하는 젊은이들.	게임에서 지고 우는 사람들.	contradiction
거리에서 긴 줄넘기를 하는 젊은이들.	사람들은 줄넘기를 하면서 구호를 외친다.	neutral
거리에서 긴 줄넘기를 하는 젊은이들.	줄넘기를 하는 사람들.	entailment
한 무리의 아이들이 거리에서 줄넘기를 하는 반면 다른 아이들은 뒤에서 지켜보고 있다.	다른 아이들이 보는 동안 녹색 유니폼을 입은 몇몇 아이들이 길 한복판에서 줄넘기를 하고 있다.	neutral
한 무리의 아이들이 거리에서 줄넘기를 하는 반면 다른 아이들은 뒤에서 지켜보고 있다.	다른 아이들이 보는 동안 몇몇 아이들이 길 한복판에서 줄넘기를 하고 있다.	entailment
한 무리의 아이들이 거리에서 줄넘기를 하는 반면 다른 아이들은 뒤에서 지켜보고 있다.	황량한 해변 위로 찬란한 붉은 해가 지고 있다	contradiction
빨간 플래드 셔츠를 입은 히스패닉 여성은 옷의 기사를 바느질하는 일을 한다.	엄지손가락에 아무것도 바느질하지 않은 여자.	contradiction
빨간 플래드 셔츠를 입은 히스패닉 여성은 옷의 기사를 바느질하는 일을 한다.	청바지 바느질하는 셔츠를 입은 여자.	neutral
빨간 플래드 셔츠를 입은 히스패닉 여성은 옷의 기사를 바느질하는 일을 한다.	셔츠 바느질을 하고 있는 여자.	entailment
거리에서 줄넘기를 하는 한 무리의 어린 소녀들.	아무도 줄넘기를 하지 않는다	contradiction
거리에서 줄넘기를 하는 한 무리의 어린 소녀들.	줄넘기를 하는 인간들	entailment
거리에서 줄넘기를 하는 한 무리의 어린 소녀들.	줄넘기를 하는 키 큰 인간들	neutral
황갈색 정장을 입은 남자가 공중전화를 이용해 전화를 하고 있다.	모두가 휴대폰을 사용하고 있다.	contradiction
황갈색 정장을 입은 남자가 공중전화를 이용해 전화를 하고 있다.	누군가 전화를 하고 있다.	entailment
