sentence1	sentence2	gold_label
아니, 난 뉴잉글랜드 매사추세츠야	아니, 난 서쪽에 있어, 뉴멕시코	contradiction
Styles St. Mary의 마을은 작은 역에서 약 2 마일 떨어진 곳에 위치해 있었고 Styles Court는 그 반대편에 1 마일 떨어져있었습니다.	스타일즈 세인트 메리는 스타일즈 코트보다 역에서 더 멀리 있었다.	entailment
더욱이 미국과 전 세계 암모니아 사업은 내수 침체와 우레아와 같은 제품 및 기타 질소 비료에 대한 글로벌 용량 증가로 어려움을 겪고 있습니다.	암모니아 사업은 요소 사업과의 경쟁에 직면해 있다.	entailment
스페인의 전통, 웅장함, 예술, 건축, 문화의 혼합에 대한 조사는 카스티야 언덕 꼭대기에 있는 이 작은 도시로 가득 차 있다.	그 도시는 정말 거대한 것으로 알려져 있다.	contradiction
우리 모두 그가 온다는 것을 알았다.	우리 모두는 그가 온다는 소식을 들었다.	neutral
'네가 내 친구를 죽였어.	나는 내 친구를 죽였다.	contradiction
무대 뒤에는 63개의 해골이 발견된 글래디에이터 병영이 있었다.	63개의 해골이 무대 너머 글래디에이터의 배럭에서 발견되었다.	entailment
어, 내 남편은 은퇴했지만 정원사는 아니야. 그는 나를 더 많이 도와줬지만, 그는 정말로 정원 가꾸기에 열광하지 않아.	남편은 정원 가꾸기를 도와주고 있지만, 그는 그것을 하는 것을 별로 좋아하지 않는다.	entailment
그래서 그게 좋은 것 중 하나야	그것은 나쁜 것이다.	contradiction
나는 내 젊은이에 대해 걱정하지 않을 것이다.	내 젊은이를 걱정하라.	contradiction
그래, 그리고 우리로부터 불과 100마일 떨어진 인디애나폴리스에는 콜츠가 있어	우리는 콜츠를 보러 인디애나폴리스로 가는 것이 좋지 않다.	neutral
차를 마시기 직전에 나는 푸아로에게 새로운 실망감을 알리기 위해 걸어 내려갔지만, 짜증스럽게도 그가 다시 나갔다는 것을 알았다.	푸아로는 한 시간 후에 돌아와 내가 그에게 그 소식을 전할 수 있게 했다.	neutral
런던에 꽤 많이 가서 저 아래 쇼를 봐.	나는 런던에서 자주 쇼를 보곤 했다.	entailment
지하실은 크기가 평방 킬로미터인데, 그게 연구실이야.	지하실은 작다.	contradiction
그래, 나는 더위에 신경쓰지 않아. 그렇게 추운 날씨에는 신경 안 써. 난 그냥 너무 많이 참을 수 없는 것 같아.	나는 더운 날씨에는 괜찮지만 추운 날씨를 참기 힘들다.	entailment
중앙에 위치한 일본 철도역 근처에는 이 도시의 매혹적인 역사에서 포르투갈의 역할의 첫 신호가 있다.	기차역 근처에는 일본에 대한 포르투갈의 개입을 묘사한 표지판이 있습니다.	entailment
법무법인 이사회는 1998년 11월 16일 결의 98-011을 채택하여 적격 외국인의 대표에 대한 존재 요건을 연구하기 위한 명시적인 목적을 가지고 위원회를 설립할 권한을 부여했다.	결의안 98-011은 외계인의 표현에 대한 존재 요건에 초점을 맞추고 있다.	entailment
LSC는 각 주의 보조금 수령자들이 고객의 가장 설득력 있는 요구에 가장 잘 대응하고, 가능한 모든 자원의 가장 전략적이고 비용 효율적인 사용을 보장하며, 주 전역의 고객들이 적시에, 효과적이고, 적절한 법률 서비스를 받을 수 있는 기회를 극대화하기 위해 서로 협력하고 정의 이해당사자를 평등하게 할 것을 요구한다.	법률 서비스에는 시내 최고의 변호사들이 포함되어 있다.	neutral
결과적으로 동기부여 메커니즘은 명확하지 않다.	우리는 동기부여 메커니즘에 대해 매우 명확하다.	contradiction
이글거리는 태양 아래 들판에서 일하는 것을 보는 남녀가 부럽지는 않겠지만, 미소를 지으며 파도를 되돌리기에는 결코 너무 피곤하지 않다.	밖에서 일하는 사람들은 낙관적이고 친절하다.	entailment
이스탄불과 에게 해 리조트의 대부분의 식사 장소는 빵, 샐러드, 케밥 및 해산물의 표준 요금을 제공합니다.	이스탄불에는 케밥을 제공하는 식사 장소가 거의 없다.	contradiction
이것은 보통 SCR 원자로 자체만큼 많은 공간을 차지하지 않는다.	이것은 또한 많은 공간을 차지한다.	neutral
이 도시에는 또한 12개 이상의 전문 서점이 있습니다. 가장 유명한 두 가지는 형이상학 및 뉴 에이지 타이틀을 지닌 멜로즈의 보디 트리와 국제 신문 및 정기 간행물을 실은 선셋대로의 북 수프입니다.	선셋 대로에 있는 북 수프는 신문이나 잡지를 팔지 않는다.	contradiction
T 및 A 데이터를 기록하는 타이밍에 관계없이 관리는 기록된 정보가 작업, 휴가 또는 기타 부재를 반영한다는 합리적인 확신을 주는 제어 기술 시스템을 갖추어야 합니다.	기존의 관행이 항상 정확하기 때문에 제어 기술의 시스템이 필요하지 않습니다.	contradiction
갑자기 줄리어스가 갑자기 멈춰서서서 토미가 그에게 대포를 박았다.	토미는 그가 걷고 있는 곳을 보고 있지 않았다.	neutral
진짜 옥은 매우 비싸고, 가짜 옥을 제공받을 수도 있는데, 이것은 진짜 기사와 꼭 닮았다.	사람들은 진짜 기사와 구별하기 어려운 가짜 옥을 파는 경향이 있다.	neutral
글쎄, 난 항상 형사가 되고 싶은 비밀스러운 갈망이 있었어!	나는 항상 범죄를 해결하려는 숨은 욕망을 가지고 있었다.	entailment
나는 생어 해리스 같은 것을 가지고 있었고, 당신은 그것이 몇 백 달러 정도 일어났다는 것을 알고 있고, 나는 그들이 원하는 것은 한 달에 10달러뿐이었기 때문에 괜찮다고 생각했다. 나는 그것에 대해 아무 생각도 하지 않았다.	나는 그 10이 실제로 천이라는 것을 거의 알지 못했다.	neutral
우리는 에스텔라의 내면의 투쟁, 즉 그녀의 이모가 그녀를 꾀어낸 벌칙적인 수탉과 그녀의 고유한 품위 사이의 줄다리기에 대해 들었지만, 그 갈등은 팰트로의 보잘것없는 공연에서 뚜렷이 드러나지 않는다.	영화가 끝날 때 에스텔라는 자신의 고유한 품위를 받아들이고 옳은 일을 한다.	neutral
그는 20년 동안 새로운 생각을 하지 않았다.	그는 매일 새로운 생각을 가지고 있다.	contradiction
남쪽으로 50km(30마일) 떨어진 곳에 이집트에서 두 번째로 큰 신전인 에드푸 신전이 있으며, 가장 잘 보존된 신전 중 하나이다.	에드푸 신전은 잘 보존되어 있지 않다.	contradiction
그들은 그래, 괜찮아. 그래서 그들은 여전히 그것을 하고 있어. 그러면 나는 채널을 맞춰야 할 거야.	그들은 더 이상 그것을 하지 않는다. 나는 듣지 않을 것이다.	contradiction
그것의 두 영화관은 새로운 국제 영화와 기록 영화들의 다양한 프로그램을 보여준다.	그것은 세 개의 영화관이 오래된 영화만을 보여준다.	contradiction
오, 그렇구나. 만약 네가 신선한 흙을 가지고 있다면 그들은 그럴 거야.	만약 당신이 신선한 흙을 가지고 있다면 나는 그것을 볼 수 있다.	entailment
특히 페르시아만에서 통제 불능으로 타오르고 있는 석유와 같은 자원이 줄어들 때 돈이 드는 이런 것들 중 몇 가지에 대해 더 걱정하는 것을 보는 것은 나에게 위안이 된다. 그리고 모든 사소한 일들만으로도 나는 기분이 좋아진다. 그것은 내 아이들에게 내 조카들과 조카들에게 남겨진 무언가가 있다는 것을 느끼게 한다.	사람들이 우리 나라의 비용에 대해 걱정하는 것을 보니 기분이 좋다.	entailment
맞아 맞아 맞아 그래 난 거기에 너와 동의 해 비록 그들이 특정 종교를 선택하고 싶어한다는 것을 의미하지만 그들은 나를 끌어 당기지 않고 끌어 당기지 않는 한 나도 괜찮아. 그들이 문을 방문하고 대중에게 나가는 것처럼 그들이하는 것과 그들의 임무입니다. 실제로 그들은 2 년 동안 군대와 2에서 말하는 것처럼 몇 년 동안 선교사로 일하고 선교 사업을하고 있으며, 나는 그저 음, 특히 전혀 신경 쓰지 않으며 그 점에 대해 정말로 강하게 느끼는 것 중 하나입니다. 특히 종교 단체를 방문하고 당신이 저를 가입 시키려고하거나 내 종교를 갖고 있기 때문에 종교에 관심을 가지기를 원합니다.	나는 그들의 종교에 매우 관심이 있고 그들과 집집마다 가고 싶다.	contradiction
의회에서 미국 상원과 하원에 의해 제정되더라도,	미국 상원의원과 의원들은 그 법안을 모으고 제정하고 서명했다.	neutral
(사실, 그 중 한 명을 제외한 모든 것을 무시하는 한, 원하는 만큼 많은 판사를 가질 수 있었다.)	당신은 당신의 범죄에 대해 많은 판사를 가질 수 있다.	neutral
그리고 총알이 될 것은 온스가 될 것이다.	나는 슛이 무엇인지 모른다.	contradiction
카푸신스 대로에서는 1874년 역사적인 인상주의 전시회를 위해 35번에 표지판을 붙인 나다르의 집으로 그림을 가져가면서 르누아르, 마네, 피사로의 발자취를 되짚어 보라.	르누아르, 모네, 피사로의 그림은 나다르의 집에 있었다.	entailment
나는 길가에 있는 길을 보았다.	길에서 멀어지는 길이 있었다.	neutral
글쎄, 그들은 결국 그럴지도 모르지만, 어떤 남자들은 신경 쓰지 않는 남자들을 보지 못한다.	어떤 남자들은 신경 쓰지 않는 것 같지만, 결국 나는 그렇게 생각한다.	entailment
그 반대 극단에는 수천 명의 울부짖고 땀에 흠뻑 젖은 남자들이 거리를 통해 상징적인 목적지로 거대한 휴대용 사당을 운반하기 위해 싸우는 거대하고 거의 폭동적인 행렬이 있다.	휴대용 사당을 놓고 싸우는 목적지에는 상징성이 없다.	contradiction
자유주의 인도주의자(붉은 꼬리의 호크)	보수적 인도주의자들은 붉은 꼬리 매라고 불린다.	contradiction
멕스 호스를 훔쳤는데, 여기까지 차를 몰고 왔지. 다른 놈들에게 팔렸을지도 몰라.	그들은 보통 가격의 두 배에 다른 사람들을 잃은 같은 사람들에게 그것들을 팔았다.	neutral
나는 남편에게 이렇게 이상하다고 말했다.왜냐하면 사람들이 이해하지 못하는 것은 요양원에서 일하는 사람들조차도 언젠가는 늙게 될 것이기 때문이다.	나는 남편에게 그것이 완전히 정상이라고 말했다.	contradiction
여기 내 몫의 왕관 반이 있다." 토미는 생각에 잠긴 채 신문을 들고 있었다.	토미는 손에 든 종이를 움켜쥐고 있었는데 거의 땅에 떨어질 뻔했다.	contradiction
같이 있을 때면 그 일을 해본 적이 있다	회사가 있을 때 직접 봉사한 적 있어? 끔찍해.	neutral
에게 리조트에서 가장 인기 있는 여행 중 하나는 쿠라다제에서 내륙으로 약 200km(125마일) 떨어진 데니즐리 마을 위에 위치한 파묵칼레(코튼 성)의 화려한 트래버틴 테라스로 간다.	파묵칼레로 여행을 가는 사람은 많지 않지만, 리조트들은 여전히 그것을 제공한다.	contradiction
변호사들은 젤론이 법에 대한 철저한 이해를 했다고 칭찬한다.	젤론은 매우 총명했습니다	neutral
그는 '하루에 한두 잔'이라는 것에 대해 여유가 별로 없으며, 알려지지 않은 것은 적당한 음주를 장려하는 것도 과도한 음주를 조장할 것인가 하는 것이다.	적당한 음주를 장려하는 것이 폭음률을 증가시키지 않는다는 것은 확립된 사실이다.	contradiction
하지만 그때 나는 그 태도가 얼마나 피상적인지 깨달았다.	모든 사람들은 그것이 좋은 태도라고 생각했다.	contradiction
아마 아무도 너를 전혀 알아채지 못할 거야."	누가 널 알아채면 미친 짓일 거야.	neutral
나는 그것을 좋아하고 내가 생각하고 있는 것은 이 어 아시아 센터에 자원하는 것이다. 포크 박사는 학군과 함께 일하고 무엇을 하기 시작했다.	나는 아시아 센터에 자원하는 것에 대해 생각해 왔다.	entailment
어니스트 헤비웨더 경은 그녀의 일을 짧게 했고, 그의 무자비한 왕따 속에서 그녀는 절망적으로 자신을 반박했고, 어니스트 경은 만족스러운 미소를 지으며 다시 자리에 앉았다.	어니스트 헤비웨더 경은 여성들을 괴롭히는 것을 즐겼다.	neutral
내 말은, 그게 네가 아는 사람들이 그녀가 간직하고 있는 그런 종류의 것들이야. 그리고 이것이 시간낭비라는 것을 보여주는 거야. 그건 종이 낭비였어. 네가 아는 그런 것을 바꾸는 건 낭비였어.	그녀는 시간과 종이를 낭비했다.	entailment
그것은 우리를 록펠러의 성격의 3면과 책의 주요 주제인 제국 건설의 3면으로 이끈다.	록펠러는 전혀 흥미가 없었다.	contradiction
나는 단지 너에게 뭔가를 말하고 싶었을 뿐이야.	내가 하고 싶었던 건 너한테 뭔가를 말해주는 것뿐이야.	entailment
현재 이 장소를 차지하고 있는 예배당이 있는데, 이 예배당은 오랫동안 순례의 장소였지만, 이 건물의 기초는 1세기부터 시작될 수도 있다.	그 장소는 현재 예배당에 의해 점령되어 있는데, 그 재단은 적어도 한 세기는 되었을지도 모른다.	entailment
연합화는 상황을 악화시킬 뿐인 나쁜 생각이다.	노조는 상황을 악화시킬 것이다, 그들은 나쁘다.	entailment
복리후생 거부 결정을 옹호하는 것은 소송에서 정부의 메시지를 전달할 것이다.	정부의 메시지는 혜택을 부정하는 것이었다.	contradiction
남쪽 끝에는 에드워드의 우아했던 시절로 거슬러 올라가는 올드 카타락트 호텔이 있을 것이다.	올드 캐터랙트 호텔은 남쪽 끝에 있다.	entailment
오, 그래, 그들이 이 모든 것들을 시작하기 전에	그들은 이 모든 것을 시작하기 전에 불법적인 일을 하고 있었다.	neutral
댓글 기간 동안 APHIS는 또한 구술 및 서면 댓글이 접수된 4개의 공청회를 개최했습니다.	APHIS는 논평 기간 동안 세 건 이상의 공개적인 소식을 들었다.	entailment
그것의 넓은 땅은 에도 시대에 선호되는 산책 정원의 웅장한 예입니다.	에도 시대에는 정원이 선호되고 넓은 땅에 지어졌다.	entailment
공공 안전 및 보안 문제와 관련된 추가적인 상황 또한 보고서에서 특정 정보의 배제를 정당화할 수 있다.	제외된 정보는 적대적인 지역에서 정부를 위해 일하는 개인에 관한 것이었다.	neutral
모네는 조경가 알프레드 시슬리가 죽은 후 1899년에 글을 썼다.	모네는 자신의 인생이 끝나가는 비극에 대해 썼다.	entailment
그래서 음, 그래, 난 보통 무거운 소스를 요리하는 걸 좋아하는 것 같아.	나는 보통 무거운 소스를 준비하는 것을 좋아한다.	entailment
그럴 수도 있겠네요	아뇨, 그럴 리가 없어요.	contradiction
가죽제품.	진짜 가죽제품.	entailment
도시 주거, 비즈니스 All Businessb 및 혼합 농촌 공원 & amp; 총 모든 발 곡선 루프 합계	시카고에는 도시 주거와 사업 구역이 있다.	neutral
LSC의 국가계획 구상은 LSC가 자금을 지원하는 프로그램이라는 믿음을 전제로 하고 있다.	LSC는 자금을 지원하지 않는다.	contradiction
오, 그건 악몽이야	이것은 나에게 과거의 많은 비극들을 생각나게 했다.	neutral
그러자 천국에 의해 러시아인에게 "우리는 보게 될 것이다"라고 으르렁거렸다. 그러나 반데마이어 부인도 눈을 번쩍이며 일어섰다.	밴더마이어 부인은 일어서지 못한다.	contradiction
핵심 역량 및 지원 기관은 고위 임원이 따라야할 핵심 역량 및 지원 행동을 확인하여 기관의 성과 목표 달성에 기여하기 위한 것입니다.	기관들은 고위 간부들이 성취하도록 도와야 할 일련의 성과 목표를 가지고 있다.	entailment
다른 말을 타는 활동을 좋아하는 사람들을 위해, 해변에서 신나는 놀이기구를 조직하고 주변 언덕을 통과하는 안내된 오솔길을 따라 여행을 하는 승마 센터도 있다.	지역 어느 해변에서도 말이 허용되지 않는다.	contradiction
이제 우리는 우리의 지위와 한계를 받아들인다.	한계 중 하나는 그들이 무기를 사용할 수 없다는 것이었다.	neutral
그리고 난 거기 앉아서 혼자 생각하고 있어, 응	나는 이 모든 것이 너무 지겨웠다.	neutral
터펜스는 "특히 리스데일 노인이 법안을 지지할 때"라고 말했다.	터펜스는 "올드맨 리스데일이 이 법안을 지지한다"고 말했다.	entailment
반면에 잉글소프 부인은 방에 촛대가 없었고, 독서등만 가지고 있었다."	잉글소프 부인은 방에 양초를 많이 가지고 있었다.	contradiction
칼은 카다안을 한 손으로 밀어냈다.	카다안은 옆으로 밀려나 칼의 강력한 손에 의해 땅에 쓰러졌다.	neutral
나는 그들이 갈 것이라고 생각하는지 모르겠다. 나는 그들이 잘 할 것이라고 생각하지만 그들은 좋지 않지만 나는 그들이 갈 것이라고 생각한다.	나는 그들이 형편없는 팀이기 때문에 갈 것이라고 생각하지 않는다.	contradiction
그의 집으로의 복구 나는 그들이 받은 모든 실패 때문에 그것이 다시 불려졌다고 생각하지만 그것이 우리가 왜 그런 딜레마에 빠졌는지에 대한 또 다른 큰 예 중 하나이다.	모두가 그들에게 찬사를 보냈다.	contradiction
물론, 네가 정말 개종했다면, 우리는 그것에 대해 뭔가를 할 수 있을 거야.	만약 당신이 진정으로 기독교로 개종한다면, 아마도 그것에 대해 뭔가 조치를 취할 수 있을 것이다.	neutral
그러나 diGenova와 Toensing의 진짜 문제는 그들의 전문가 중독이나 민주당원들이 어쨌든 무시하자마자 조사하는 것을 소홀히 하는 것이 아니다.	DiGenova와 Toensing 둘 다 수사에 주의를 기울일 개인적인 이유가 없다.	neutral
그들에게 당신이 사업을 의미한다는 것을 보여주기 위해서는 변호사가 있어야 한다.	그들에게 당신이 사업을 의미한다는 것을 보여주기 위해서는 변호사가 필요하다.	entailment
9월말 회계연도의 연도별 스튜어드십 정보 연구개발	1912년 이후 매년 9월에 종료되는 회계연도에 대한 연구 및 개발 연간 스튜어드십 정보.	neutral
“다니엘!” 나는 문을 쾅 닫으며 쉿쉿 소리를 냈다.	나는 최대한 조심스럽게 문을 닫았다.	contradiction
모든 남자들은 그의 행동이 매우 중요한 것처럼 그를 계속 지켜보았다.	모든 남자들은 하루 동안 그를 완전히 무시했다.	contradiction
잠시 동안 그들에게는 친근함과 존경의 기미가 있는 것 같았지만, 핸슨이 훨씬 덜 좋아하는 다른 무언가가 있었다.	그들의 당당한 태도는 전혀 친근감이나 존경심이 없었다.	contradiction
캠벨의 시신은 발견되지 않았어요	물에 빠진 지 몇 분 만에 캠벨은 무사히 회복되었다.	contradiction
그리고 우리는 지역사회를 위해 이것을 한다. 그래서 나는 당신이 우리가 아마도 성공적인 단계에 도달하고 있다는 것을 알고 있고, 단지 자발적으로 나는 생각한다.	이것은 지역사회의 이익을 위해 행해진다.	entailment
이 같은 노선을 따라, 나는 최근에 소매점에 있었고 점원은 여름 드레스를 입었다.	그 점원은 여름 드레스를 입지 않았다.	contradiction
왜 안 되나요? 소녀는 망설였다.	그녀는 잠시 말을 멈추었다.	entailment
오른쪽에는 뉴욕 엠파이어 스테이트 빌딩을 계획한 회사가 설계한 YMCA의 아트 데코 비잔틴 스타일의 탑으로 오게 될 것이다.	YMCA 건물의 탑은 고전적인 그레코로만 스타일로 설계되었다.	contradiction
내가 하는 일은 내가 보고 싶은 프로그램을 녹화한 다음 밤에 내가 볼 수 있는 밤에 나는 무언가를 고를 것이다.	나는 TV를 볼 시간이 많지 않다.	neutral
수년 동안 연방 기관들은 약속된 시스템 기능을 제때 그리고 예산 범위 내에서 제공하는 데 어려움을 겪어왔다.	연방 기관들은 오랫동안 제때에 능력을 전달하는데 어려움을 겪어왔다.	entailment
루퍼트 머독은 그것을 사서 뉴욕 포스트의 서해안 버전으로 바꾸는 것에 관심이 있다는 소문이 있다. 순환에 굶주린 윌즈 vs. 광적인 그것은 미국 신문업계가 필요로 하는 종류의 싸움일 뿐이다.	루퍼트 머독이 그것을 사서 뉴욕 포스트의 웨스트 코스트 버전으로 바꾸는 것에 관심이 있다는 소문이 있다.	entailment
그것은 쇼의 꼭대기에서 지지자들을 위한 광고를 운영하고 MCI, TCI, 디즈니와 사업 거래를 하지만 여전히 그것이 상업적이지 않다고 주장한다.	그것은 쇼에서 지지자들을 위한 광고를 내보내고 사업 거래를 성사시키지만 상업적이지 않다고 주장한다.	entailment
무슨 뜻이죠?	그게 언제였죠?	contradiction
내가 글을 쓰면서 집은 꽃과 단풍으로 살아 있고, 다시 눈이 내리기 시작한다.	밖은 화창하고 덥다.	contradiction
그래, 내 말은 그들은 아무도 돕지 않는다는 거야 그게 그들이 자기 자신 외에는 아무나 위해 아무것도 하지 않는 요점이야	사람들은 도움이 필요하다.	neutral
Pico dos Barcelos에서 Funchal과 주변 환경의 놀라운 경치를 즐길 수 있다.	Pico dos Barcelos는 도시 자체는 아니지만 Funchal의 주변 환경에 대한 놀라운 경치를 제공합니다.	contradiction
핫도그나 감자칩을 다시 만들지 않아도 되는지 확인하거나	스테이크와 감자를 꼭 먹어라.	contradiction
반올림으로 인해 합계가 아닐 수 있습니다.	반올림은 부정확한 총계를 야기할 수 있습니다.	entailment
그리고 그 사람들을 이해하는 것은 어려운 일이었다.	그 사람들을 이해하는 것은 쉬웠다.	contradiction
그리고 아무도 더 친절하지 않을 것이다.	그리고 한 사람도 더 친절하게 행동하지 않을 것이다.	entailment
효과적인 OversightofDesignReview를 제공하기 위해 기관의 임무와 관련하여 시설 요구 사항을 정의하고, 시설 관련 임무 영향을 평가하며, 시설 관련 전략적 수행	그들은 정사각형 영상에 대한 시설 요건을 정의할 수 있다.	neutral
존은 산도로의 어깨에 손을 얹고 일어섰다.	산도로는 존이 서 있기 위해 존을 태웠다.	contradiction
Pro se assistance는 사람들이 스스로를 도울 수 있도록 권한을 부여하고 우리의 법원 시스템을 더 잘 작동하게 한다.	Pro se 지원은 사람들에게 도움을 받고 법원 시스템이 더 잘 작동하도록 한다.	entailment
그래, 우리 주제는 어 선거야	우리의 주제는 교육입니다.	contradiction
안시 호 주변의 크루즈는 티우 강에서 출발한다.	크루즈는 티우 강에서 출발하는 안시 호수를 돌아다닌다.	entailment
둘째, 몇 가지 특별 요금 협정이 중단될 것이다.	많은 특별 요금 협정이 중단될 것이다.	entailment
좋은 검, 높은 땅, 또는 예외적인 기술은 승산을 밀어붙일 수 있지만 결코 많지 않다.	좋은 칼은 강철로 만들어지면 사람들에게 약간의 가장자리를 준다.	neutral
문이 닫혔다.	그들은 보통 문을 열어둔다.	neutral
그의 태도는 불행했다. 나는 생각에 잠겼다.	나는 그가 어떤 태도를 가지고 있는지 알 수 없었다.	contradiction
그가 친족관계를 주장할 이유가 없었다.	그는 친족관계를 주장할 이유가 없었다.	entailment
기관들이 주요 계좌를 잃으면, 그들은 종종 그 계좌와 관련된 거의 모든 사람들을 해고한다.	만약 기관이 큰 계좌를 잃는다면, 그들이 그 계좌와 관련된 모든 사람들을 해고하는 것은 드문 일이 아니다.	entailment
요즘 이런 거 하나도 못 받아서 너무 좋다.	몇 개 사왔는데도 잘 됐네요.	contradiction
"모두 만나서 반가워."	나는 너를 보고 싶지 않아.	contradiction
성과 평가 기간을 성공적으로 마친 후 직원은 전액 급여를 받기 시작합니다.	성과평가 기간을 마친 후 직원은 전액을 지급받는다.	entailment
수백 편의 편집 만화에서 자신을 가죽 같은 얼굴의 반쪽 남자, 반쪽 코끼리로 매력적으로 표현하는 것을 보는 것.	몇몇 편집 만화는 사람들을 매력적으로 보여준다.	entailment
그들은 그 장소를 봉쇄하고 있었다.	교도소는 폐쇄되었다.	neutral
그것은 서비스 비용 영역(대부분의 전력 판매가 발생할 가능성이 있는 곳)에 대해 수당 할당이 전기 가격을 변경하지 않을 것이라고 가정한다.	서비스 비용 영역은 전력 판매의 대부분이 발생할 가능성이 높은 영역이다.	entailment
카다안은 충격을 받아 진영을 훑어보았다.	카다안은 야영지를 바라보았다.	entailment
단 한 가지 예외를 제외하고는.	예외는 돌로 쓰여졌다.	neutral
그는 다음 날 저녁의 세심한 계획을 자세히 설명했다.	그는 다음 날 밤 복잡한 계획을 세웠다.	entailment
Institut의 가이드는 오래된 14세기 Tour de Nesle의 사이트인 동쪽 정자를 지적하기를 좋아합니다.	투르 드 네슬레는 방어 구조로 지어졌다.	neutral
물론, 용서하지 않는 약속은 무의미할 것이다; 클린턴은 그의 임기 마지막 날에 그것을 간단히 깨뜨릴 수 있었다.	용서하지 않는 약속에는 많은 의미와 의미가 있을 것이다.	contradiction
그것이 얼마나 오래 지속되는지 궁금하다	나는 그것이 지속될 것이라고 생각하지 않는다.	contradiction
오 그래, 물론 영주권에는 청구서가 들어오면 지불해야 해. 그래서 옵티마 카드에는 아무 것도 없어. 음, 지금 당장 옵티마 카드에는 별로 나쁘지 않아. 사실 신용카드에 관한 한 꽤 좋은 16.5%야.	그것은 현재 매우 높게 달리고 있다.	contradiction
어린 애들이 널 돌봐줄 때 시간을 보내는 건 너도 알잖아. 가끔은 나이든 애들한테 시간이 별로 안 걸리기도 하지만, 어, 우린 교회에서 물론 매우 활동적이었어. 어 보이 스카우트와 걸스카우트 4 H.	그 시간은 아이들과 잘 보내지만 나이든 아이들과 보내는 시간은 적다.	neutral
음, 내가 그 영화에 대해 가지고 있던 문제는 내가 많은 것을 가지고 있었던 문제였어. 어, 헐리우드 영화들은 그것이 공식 영화라는 것을 알고 있고 그들은 좋은 공식인 어떤 공식에 따라 영화를 만들고 있는 것 같아.	그 영화는 트위스트 엔딩으로 원작이었다.	contradiction
오 마이	그렇군요, 와우.	entailment
오늘날 진실의 경제는 비록 심각성이 논쟁의 여지가 있을지라도 때때로 거짓을 의미한다.	요즘 정치인들은 진실의 경제와 거짓말의 차이를 알아차리는데 어려움을 겪고 있다.	neutral
나머지 절반은 도박꾼들이 어디서 왔는지, 어떻게 이곳에 도착하는지, 그리고 일단 도착하면 어떻게 대접받는가 하는 것이다.	나머지 절반은 도박꾼들이 도박을 하기 위해 모이는 것을 좋아하는 곳이다.	neutral
불행하게도, 모든 저소득층 미국인들의 민사상의 법적 요구는 연방과 주 차원의 심각한 자금 부족으로 인해 적절하게 충족되지 못하고 있다.	저소득층 미국인들에게 다행스럽게도, 그들의 모든 시민적 법적 요구는 무료로 충족될 것이다.	contradiction
그냥 좀 필요했을 뿐이야."	필요 없었지만 좋아 보여서 가져갔어.	contradiction
악천후	좋은 날씨.	contradiction
이를 위해 이사회는 저축과 투자를 목표 실업률에 맞추기 위해 금리를 올리거나 낮춰야 한다.	그것을 이행하는 것은 매우 오랫동안 이사회의 목표였다.	neutral
따라서 그는 재범의 감소가 응급 의사들에게 적합한 결과일 수 있다고 추측했다.	의사들은 일을 하기 위해 많은 것들을 필요로 한다	neutral
나는 전에 있었던 것과 같은 원 안에 있는 자신을 발견하기 시작했다.	나는 고등학교 때 가졌던 친구들과 같은 동그라미로 돌아왔었다.	neutral
나는 그것이 효과가 있다고 생각한다'고 그녀는 클럽에 나가기 전에 약 한 달 후에 말했고, 그녀의 아버지는 딸의 얼굴에는 거의 세 자릿수가 적다는 막연한 인상을 받았다.	아버지는 딸이 전형적으로 많은 지트를 가지고 있다고 생각했다.	neutral
Timna Park 북쪽의 짧은 거리는 Hai Bar Wildlife Reserve입니다. 희귀하고 멸종 위기에 처한 토착 동물은 야생으로 다시 방출되기 위해 사육됩니다.	하이 바 야생동물 보호구역은 모든 동물들이 평생 감금되어 있는 동물원이다.	contradiction
어떤 경우에는 현대 건물이 오늘날 존경받지 못하는 자리에 세워졌습니다.	그 자리에 세워진 현대식 건물들 중 일부는 오늘날 존경받지 못한다.	entailment
그의 전쟁 클럽보다 덜 불길하지만, 아드린에 대한 두 번의 안타는 그것이 그 일에 도움이 되었다는 것을 증명했다.	아드린은 도끼로 두 번 맞았다.	neutral
몇 년 동안 그는 발라돌리드에서 법정에 섰지만, 결국 마드리드로 돌아왔다.	그는 마드리드의 번화한 거리로 돌아와서 매우 기뻤다.	neutral
(NBC는 여기서 쇼를 홍보한다.)	NBC는 이 쇼의 홍보를 거부했다.	contradiction
헬레니즘과 로마시대	헬레니즘 시대만.	contradiction
재취득가격과 소멸채무의 순이전가치 사이의 차이는 재무부채무에 대한 이자를 회계처리하는 손실이나 이득으로 인식해야 한다.	이것이 재무부 부채를 나타내는 가장 좋은 방법이다.	neutral
보급 마차를 든 중위가 있었다.	보급 마차를 탄 중위가 거기 있었다.	entailment
홍보에 대한 두려움이나 남편과 아내 사이의 스캔들이 나를 단념시킬 것이라고 생각할 필요는 없다.' 그리고 나서 나는 그들이 나오는 소리를 들은 것 같아서 재빨리 떠났다."	나는 그 소리를 들은 줄 알고 재빨리 떠났다.	entailment
이것은 단순한 직업 이상의 것이다.	이것은 단지 직업일 뿐이다.	contradiction
